2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Start listening for new input messages
2018-12-30 14:28:55 - apollo_python_common.mq.abstract_mq_consumer - INFO - Start listening for new input messages
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Start consuming messages on queue a4ccbb2a8db9404a9da42f11947180dc
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Start consuming messages on queue 5562ca682f944167b6cf7c7b2c137a5e
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connection successful
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connection successful
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connection successful
2018-12-30 14:28:56 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:28:59 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.0838), ('predict', 0.0121), ('postprocess', 0.0005)]
2018-12-30 14:28:59 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.0948), ('predict', 0.0122), ('postprocess', 0.0005)]
2018-12-30 14:28:59 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1399), ('predict', 0.0254), ('postprocess', 0.0007)]
2018-12-30 14:29:00 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1032), ('predict', 0.0136), ('postprocess', 0.0006)]
2018-12-30 14:29:00 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1718), ('predict', 0.0144), ('postprocess', 0.0006)]
2018-12-30 14:29:00 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.0795), ('predict', 0.0138), ('postprocess', 0.0006)]
2018-12-30 14:29:00 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.0857), ('predict', 0.0149), ('postprocess', 0.0006)]
2018-12-30 14:29:00 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.0879), ('predict', 0.0132), ('postprocess', 0.0006)]
2018-12-30 14:29:00 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.0918), ('predict', 0.0188), ('postprocess', 0.0006)]
2018-12-30 14:29:00 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1044), ('predict', 0.0134), ('postprocess', 0.0007)]
2018-12-30 14:29:00 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.2106), ('predict', 0.0126), ('postprocess', 0.0006)]
2018-12-30 14:29:00 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.0979), ('predict', 0.0379), ('postprocess', 0.0009)]
2018-12-30 14:29:01 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1156), ('predict', 0.0152), ('postprocess', 0.0007)]
2018-12-30 14:29:01 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1736), ('predict', 0.0137), ('postprocess', 0.0006)]
2018-12-30 14:29:01 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1095), ('predict', 0.0148), ('postprocess', 0.0006)]
2018-12-30 14:29:01 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.0857), ('predict', 0.0131), ('postprocess', 0.0006)]
2018-12-30 14:29:01 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.0818), ('predict', 0.0148), ('postprocess', 0.0006)]
2018-12-30 14:29:01 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.109), ('predict', 0.0128), ('postprocess', 0.0006)]
